direction,combo,noise_k,vol_mult,window,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
LONG,vwap_reclaim+above_vwap,0.0,0.8,full_0930_1400,87,1.53,31,47,9,35.6,39.7,0.69,-4.44,5.04,78.9
LONG,vwap_reclaim+poc_reject_up,0.0,0.8,full_0930_1400,8,0.14,2,4,2,25.0,33.3,0.42,-0.82,0.6,101.9
LONG,vwap_reclaim+adi_up,0.0,0.8,full_0930_1400,63,1.11,26,32,5,41.3,44.8,0.84,-1.63,3.47,78.7
LONG,vwap_reclaim+delta_surge,0.0,0.8,full_0930_1400,20,0.35,9,8,3,45.0,52.9,1.2,0.5,1.5,103.8
LONG,vwap_reclaim+s1_bounce,0.0,0.8,full_0930_1400,3,0.05,2,1,0,66.7,66.7,2.0,0.3,0.3,76.7
LONG,vwap_reclaim+ylow_reclaim,0.0,0.8,full_0930_1400,4,0.07,0,2,2,0.0,0.0,0.2,-0.62,0.6,148.8
LONG,vwap_reclaim+yhigh_break,0.0,0.8,full_0930_1400,6,0.11,3,3,0,50.0,50.0,1.0,0.0,0.6,50.8
LONG,vwap_reclaim+above_pivot,0.0,0.8,full_0930_1400,51,0.89,16,29,6,31.4,35.6,0.58,-3.71,4.31,82.8
LONG,vwap_reclaim+macd_x_up,0.0,0.8,full_0930_1400,7,0.12,2,4,1,28.6,33.3,0.5,-0.61,0.91,57.9
LONG,vwap_reclaim+macd_x_up_neg,0.0,0.8,full_0930_1400,6,0.11,2,3,1,33.3,40.0,0.66,-0.31,0.61,65.8
LONG,vwap_reclaim+hist_turn_up,0.0,0.8,full_0930_1400,32,0.56,9,19,4,28.1,32.1,0.51,-2.89,3.19,74.2
LONG,vwap_reclaim+strong_close,0.0,0.8,full_0930_1400,76,1.33,26,42,8,34.2,38.2,0.66,-4.43,5.11,78.6
LONG,vwap_reclaim+orb_break_up,0.0,0.8,full_0930_1400,15,0.26,6,9,0,40.0,40.0,0.67,-0.9,1.5,60.7
LONG,vwap_reclaim+orb_break_up_v,0.0,0.8,full_0930_1400,8,0.14,4,4,0,50.0,50.0,1.0,0.0,0.3,65.6
LONG,vwap_reclaim+vwap_reclaim_v,0.0,0.8,full_0930_1400,46,0.81,17,23,6,37.0,42.5,0.82,-1.29,2.4,83.3
LONG,vwap_reclaim+rvol_thrust_up,0.0,0.8,full_0930_1400,24,0.42,8,11,5,33.3,42.1,0.89,-0.38,1.2,101.9
LONG,vwap_reclaim+above_vwap_v,0.0,0.8,full_0930_1400,31,0.54,12,13,6,38.7,48.0,1.05,0.21,1.5,95.8
LONG,vwap_reclaim+vwap_lo_bounce,0.0,0.8,full_0930_1400,21,0.37,10,9,2,47.6,52.6,1.14,0.39,0.9,79.3
LONG,vwap_reclaim+cvd_up,0.0,0.8,full_0930_1400,59,1.04,25,27,7,42.4,48.1,0.93,-0.57,3.17,79.6
LONG,vwap_reclaim+cvd_up_v,0.0,0.8,full_0930_1400,32,0.56,13,15,4,40.6,46.4,0.91,-0.42,2.4,83.6
LONG,vwap_reclaim+mom_ignite_up,0.0,0.8,full_0930_1400,2,0.04,0,1,1,0.0,0.0,0.63,-0.11,0.3,105.0
LONG,vwap_reclaim+rsi_thrust_up,0.0,0.8,full_0930_1400,14,0.25,6,5,3,42.9,54.5,1.25,0.39,0.7,72.9
LONG,above_vwap+poc_reject_up,0.0,0.8,full_0930_1400,33,0.58,9,22,2,27.3,29.0,0.4,-4.12,4.42,58.9
LONG,above_vwap+adi_up,0.0,0.8,full_0930_1400,624,10.95,258,292,74,41.3,46.9,0.92,-7.38,14.55,85.6
LONG,above_vwap+delta_surge,0.0,0.8,full_0930_1400,233,4.09,90,111,32,38.6,44.8,0.85,-4.96,8.29,87.9
LONG,above_vwap+s1_bounce,0.0,0.8,full_0930_1400,16,0.28,6,10,0,37.5,37.5,0.6,-1.2,2.1,41.2
LONG,above_vwap+ylow_reclaim,0.0,0.8,full_0930_1400,15,0.26,2,10,3,13.3,16.7,0.23,-2.49,2.49,74.0
LONG,above_vwap+yhigh_break,0.0,0.8,full_0930_1400,25,0.44,12,10,3,48.0,54.5,1.29,0.89,0.97,86.2
LONG,above_vwap+above_pivot,0.0,0.8,full_0930_1400,603,10.58,218,273,112,36.2,44.4,0.87,-11.16,22.49,96.9
LONG,above_vwap+macd_x_up,0.0,0.8,full_0930_1400,39,0.68,10,26,3,25.6,27.8,0.42,-4.56,5.46,76.0
LONG,above_vwap+macd_x_up_neg,0.0,0.8,full_0930_1400,12,0.21,3,7,2,25.0,30.0,0.46,-1.14,1.44,87.5
LONG,above_vwap+hist_turn_up,0.0,0.8,full_0930_1400,110,1.93,35,58,17,31.8,37.6,0.67,-5.86,6.89,79.6
LONG,above_vwap+strong_close,0.0,0.8,full_0930_1400,493,8.65,190,237,66,38.5,44.5,0.84,-11.72,17.45,85.7
LONG,above_vwap+orb_break_up,0.0,0.8,full_0930_1400,62,1.09,25,32,5,40.3,43.9,0.83,-1.68,3.49,80.6
LONG,above_vwap+orb_break_up_v,0.0,0.8,full_0930_1400,47,0.82,19,25,3,40.4,43.2,0.77,-1.73,2.74,82.3
LONG,above_vwap+vwap_reclaim_v,0.0,0.8,full_0930_1400,46,0.81,17,23,6,37.0,42.5,0.82,-1.29,2.4,83.3
LONG,above_vwap+rvol_thrust_up,0.0,0.8,full_0930_1400,203,3.56,80,94,29,39.4,46.0,0.91,-2.72,5.78,87.1
LONG,above_vwap+above_vwap_v,0.0,0.8,full_0930_1400,365,6.4,133,178,54,36.4,42.8,0.8,-10.89,14.93,88.0
LONG,above_vwap+vwap_lo_bounce,0.0,0.8,full_0930_1400,32,0.56,17,13,2,53.1,56.7,1.32,1.29,0.9,72.0
LONG,above_vwap+cvd_up,0.0,0.8,full_0930_1400,576,10.11,219,273,84,38.0,44.5,0.85,-12.49,19.58,87.4
LONG,above_vwap+cvd_up_v,0.0,0.8,full_0930_1400,350,6.14,133,164,53,38.0,44.8,0.86,-7.01,12.22,89.3
LONG,above_vwap+mom_ignite_up,0.0,0.8,full_0930_1400,48,0.84,21,22,5,43.8,48.8,1.01,0.04,1.5,68.9
LONG,above_vwap+rsi_thrust_up,0.0,0.8,full_0930_1400,41,0.72,16,16,9,39.0,50.0,1.08,0.38,1.76,81.6
LONG,poc_reject_up+adi_up,0.0,0.8,full_0930_1400,32,0.56,8,21,3,25.0,27.6,0.39,-3.92,4.52,64.8
LONG,poc_reject_up+delta_surge,0.0,0.8,full_0930_1400,12,0.21,3,7,2,25.0,30.0,0.48,-1.13,1.13,67.1
LONG,poc_reject_up+s1_bounce,0.0,0.8,full_0930_1400,3,0.05,1,2,0,33.3,33.3,0.5,-0.3,0.3,20.0
LONG,poc_reject_up+ylow_reclaim,0.0,0.8,full_0930_1400,2,0.04,0,2,0,0.0,0.0,0.0,-0.6,0.3,55.0
LONG,poc_reject_up+yhigh_break,0.0,0.8,full_0930_1400,1,0.02,0,1,0,0.0,0.0,0.0,-0.3,0.0,15.0
LONG,poc_reject_up+above_pivot,0.0,0.8,full_0930_1400,25,0.44,8,15,2,32.0,34.8,0.51,-2.32,3.22,56.6
LONG,poc_reject_up+macd_x_up,0.0,0.8,full_0930_1400,3,0.05,1,1,1,33.3,50.0,0.83,-0.06,0.36,108.3
LONG,poc_reject_up+macd_x_up_neg,0.0,0.8,full_0930_1400,2,0.04,0,1,1,0.0,0.0,0.0,-0.36,0.06,142.5
LONG,poc_reject_up+hist_turn_up,0.0,0.8,full_0930_1400,16,0.28,4,8,4,25.0,33.3,0.5,-1.33,1.93,89.4
LONG,poc_reject_up+strong_close,0.0,0.8,full_0930_1400,36,0.63,11,21,4,30.6,34.4,0.52,-3.13,3.73,64.0
LONG,poc_reject_up+orb_break_up,0.0,0.8,full_0930_1400,7,0.12,3,4,0,42.9,42.9,0.75,-0.3,0.6,53.6
LONG,poc_reject_up+orb_break_up_v,0.0,0.8,full_0930_1400,5,0.09,2,3,0,40.0,40.0,0.67,-0.3,0.6,50.0
LONG,poc_reject_up+vwap_reclaim_v,0.0,0.8,full_0930_1400,2,0.04,1,0,1,50.0,100.0,3.56,0.22,0.08,122.5
LONG,poc_reject_up+rvol_thrust_up,0.0,0.8,full_0930_1400,11,0.19,4,6,1,36.4,40.0,0.64,-0.68,0.98,60.9
LONG,poc_reject_up+above_vwap_v,0.0,0.8,full_0930_1400,14,0.25,5,8,1,35.7,38.5,0.6,-0.98,1.58,54.3
LONG,poc_reject_up+vwap_lo_bounce,0.0,0.8,full_0930_1400,9,0.16,1,5,3,11.1,16.7,0.17,-1.49,1.19,98.9
LONG,poc_reject_up+cvd_up,0.0,0.8,full_0930_1400,22,0.39,7,13,2,31.8,35.0,0.51,-2.02,2.32,68.0
LONG,poc_reject_up+cvd_up_v,0.0,0.8,full_0930_1400,10,0.18,4,5,1,40.0,44.4,0.76,-0.38,0.38,60.5
LONG,poc_reject_up+mom_ignite_up,0.0,0.8,full_0930_1400,1,0.02,1,0,0,100.0,100.0,inf,0.3,0.0,25.0
LONG,poc_reject_up+rsi_thrust_up,0.0,0.8,full_0930_1400,5,0.09,2,2,1,40.0,50.0,0.88,-0.08,0.38,65.0
LONG,adi_up+delta_surge,0.0,0.8,full_0930_1400,316,5.54,115,161,40,36.4,41.7,0.75,-12.54,16.11,83.0
LONG,adi_up+s1_bounce,0.0,0.8,full_0930_1400,28,0.49,10,18,0,35.7,35.7,0.56,-2.4,3.3,49.1
LONG,adi_up+ylow_reclaim,0.0,0.8,full_0930_1400,26,0.46,10,13,3,38.5,43.5,0.82,-0.72,1.67,79.0
LONG,adi_up+yhigh_break,0.0,0.8,full_0930_1400,27,0.47,13,11,3,48.1,54.2,1.26,0.89,0.97,82.2
