direction,combo,noise_k,vol_mult,window,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
LONG,vwap_reclaim+above_vwap,0.0,0.8,full_0930_1400,85,1.49,21,36,28,24.7,36.8,0.63,-4.66,4.46,123.3
LONG,vwap_reclaim+poc_reject_up,0.0,0.8,full_0930_1400,6,0.11,3,2,1,50.0,60.0,1.95,0.57,0.3,99.2
LONG,vwap_reclaim+adi_up,0.0,0.8,full_0930_1400,63,1.11,16,25,22,25.4,39.0,0.7,-2.67,2.45,118.0
LONG,vwap_reclaim+delta_surge,0.0,0.8,full_0930_1400,28,0.49,7,11,10,25.0,38.9,0.8,-0.69,1.5,110.7
LONG,vwap_reclaim+s1_bounce,0.0,0.8,full_0930_1400,5,0.09,3,2,0,60.0,60.0,1.5,0.3,0.3,77.0
LONG,vwap_reclaim+ylow_reclaim,0.0,0.8,full_0930_1400,8,0.14,2,4,2,25.0,33.3,0.63,-0.49,0.9,109.4
LONG,vwap_reclaim+yhigh_break,0.0,0.8,full_0930_1400,6,0.11,1,4,1,16.7,20.0,0.23,-0.98,0.98,93.3
LONG,vwap_reclaim+above_pivot,0.0,0.8,full_0930_1400,61,1.07,13,26,22,21.3,33.3,0.58,-3.82,3.84,130.0
LONG,vwap_reclaim+macd_x_up,0.0,0.8,full_0930_1400,6,0.11,5,1,0,83.3,83.3,5.0,1.2,0.3,67.5
LONG,vwap_reclaim+macd_x_up_neg,0.0,0.8,full_0930_1400,4,0.07,4,0,0,100.0,100.0,inf,1.2,0.0,43.8
LONG,vwap_reclaim+hist_turn_up,0.0,0.8,full_0930_1400,36,0.63,8,19,9,22.2,29.6,0.45,-3.57,3.38,106.0
LONG,vwap_reclaim+strong_close,0.0,0.8,full_0930_1400,75,1.32,19,31,25,25.3,38.0,0.63,-4.07,3.85,126.1
LONG,vwap_reclaim+orb_break_up,0.0,0.8,full_0930_1400,12,0.21,3,6,3,25.0,33.3,0.63,-0.76,0.9,110.8
LONG,vwap_reclaim+orb_break_up_v,0.0,0.8,full_0930_1400,9,0.16,3,5,1,33.3,37.5,0.66,-0.51,0.6,91.7
LONG,vwap_reclaim+vwap_reclaim_v,0.0,0.8,full_0930_1400,43,0.75,13,18,12,30.2,41.9,0.82,-1.03,1.43,106.7
LONG,vwap_reclaim+rvol_thrust_up,0.0,0.8,full_0930_1400,29,0.51,8,12,9,27.6,40.0,0.79,-0.81,2.1,112.6
LONG,vwap_reclaim+above_vwap_v,0.0,0.8,full_0930_1400,33,0.58,9,14,10,27.3,39.1,0.77,-0.99,1.8,107.0
