hour,samples,longs,shorts,avg_abs_move,median_abs_move,p90_abs_move,max_abs_move,avg_up_move,avg_down_move,matched,resolved,mom_true,mom_n,long_pct,match_pct,momentum_pct
0,124,47,77,69.9,58.0,130.4,257.0,43.8,-52.4,62,124,59,124,37.9,50.0,47.6
1,124,62,62,63.0,55.0,112.7,225.0,46.8,-42.7,65,124,55,124,50.0,52.4,44.4
2,124,62,62,65.5,54.5,117.4,222.0,46.0,-45.0,67,124,59,124,50.0,54.0,47.6
3,124,67,57,67.5,55.0,114.4,302.0,49.0,-44.3,73,124,69,124,54.0,58.9,55.6
4,124,59,65,60.4,48.0,106.4,301.0,40.3,-41.5,75,124,66,124,47.6,60.5,53.2
5,124,66,58,56.0,47.0,111.8,209.0,38.5,-39.0,73,124,63,124,53.2,58.9,50.8
6,129,72,57,63.7,52.0,107.6,278.0,46.1,-39.4,73,129,52,127,55.8,56.6,40.9
7,132,59,73,104.9,74.0,169.9,720.0,74.0,-67.7,87,132,72,132,44.7,65.9,54.5
8,132,66,66,120.7,99.5,225.8,752.0,85.1,-81.3,89,131,66,129,50.0,67.9,51.2
9,132,70,62,146.9,125.0,254.0,723.0,102.9,-104.5,79,132,66,132,53.0,59.8,50.0
10,132,67,65,121.4,99.5,225.9,569.0,90.4,-78.9,71,132,65,132,50.8,53.8,49.2
11,132,57,75,93.4,80.5,159.8,338.0,60.2,-70.5,74,132,64,132,43.2,56.1,48.5
12,132,65,67,88.4,78.0,136.8,454.0,58.2,-61.6,79,132,71,132,49.2,59.8,53.8
13,132,61,71,76.3,66.0,129.7,225.0,50.7,-56.6,80,132,75,132,46.2,60.6,56.8
14,135,68,67,71.0,66.0,119.2,207.0,52.5,-47.7,74,135,71,134,50.4,54.8,53.0
15,137,74,63,66.3,52.0,122.8,411.0,47.9,-43.5,90,137,64,136,54.0,65.7,47.1
16,140,74,66,67.2,51.0,125.8,297.0,50.1,-41.5,96,140,67,137,52.9,68.6,48.9
17,141,60,81,79.9,63.0,174.0,390.0,51.1,-55.2,82,140,68,136,42.6,58.6,50.0
18,140,73,67,70.8,61.0,128.0,289.0,48.3,-47.6,84,139,65,139,52.1,60.4,46.8
19,136,61,75,91.9,80.5,149.0,364.0,56.8,-65.5,90,135,64,135,44.9,66.7,47.4
20,132,61,71,82.8,71.5,153.4,535.0,56.0,-60.5,82,131,69,131,46.2,62.6,52.7
21,128,60,68,79.0,66.5,140.6,519.0,50.9,-57.4,78,128,61,128,46.9,60.9,47.7
22,128,62,66,68.4,58.0,106.9,368.0,47.4,-46.5,85,128,72,128,48.4,66.4,56.2
23,126,58,68,58.4,53.0,89.0,212.0,38.3,-42.5,75,125,65,125,46.0,60.0,52.0
