hour,samples,longs,shorts,avg_abs_move,median_abs_move,max_abs_move,matched,resolved,mom_true,mom_n,long_pct,match_pct,momentum_pct
0,4,3,1,7.375,6.4499,12.0,2,3,0,3,75.0,66.7,0.0
1,6,5,1,8.4333,7.8501,12.5,5,6,3,4,83.3,83.3,75.0
2,8,4,4,5.85,5.8001,9.0,5,7,2,7,50.0,71.4,28.6
3,3,2,1,5.6668,5.3003,7.5,1,2,0,1,66.7,50.0,0.0
4,4,3,1,7.0,7.0,8.5,4,4,2,4,75.0,100.0,50.0
5,4,2,2,3.925,3.8,5.3003,4,4,1,4,50.0,100.0,25.0
6,4,2,2,8.4,7.3501,14.2998,4,4,2,4,50.0,100.0,50.0
7,4,1,3,10.2501,7.8,18.5,2,4,1,4,25.0,50.0,25.0
8,4,3,1,11.175,9.25,20.0,3,4,3,4,75.0,75.0,75.0
9,4,2,2,8.9,8.45,12.7002,3,4,2,4,50.0,75.0,50.0
10,4,0,4,10.8498,9.1499,19.5,2,4,2,4,0.0,50.0,50.0
11,4,3,1,9.125,5.1001,22.3999,4,4,2,4,75.0,100.0,50.0
12,4,1,3,7.575,7.3,9.7998,3,4,1,4,25.0,75.0,25.0
13,4,1,3,6.5,5.5501,10.5996,1,4,3,4,25.0,25.0,75.0
14,4,3,1,5.225,5.5498,7.8003,2,4,3,4,75.0,50.0,75.0
15,3,3,0,2.7334,2.8999,4.1001,0,2,0,2,100.0,0.0,0.0
17,4,3,1,2.65,2.1499,4.7002,3,4,2,2,75.0,75.0,100.0
18,6,4,2,4.0834,3.2,7.6001,3,5,1,3,66.7,60.0,33.3
19,8,5,3,10.1375,10.7998,15.6001,8,8,2,8,62.5,100.0,25.0
20,8,3,5,10.6249,9.2998,19.2002,7,8,3,8,37.5,87.5,37.5
21,8,3,5,11.7124,12.0498,17.2998,5,8,4,8,37.5,62.5,50.0
22,8,5,3,6.15,5.5998,10.3999,4,6,2,6,62.5,66.7,33.3
23,5,0,5,4.9802,4.6001,8.1001,2,4,1,2,0.0,50.0,50.0
