date,created_on,hour,15minute,minus_min,minus_max,plus_min,plus_max,best_move,direction,price_current15,price_next15,is_matched,momentum
08/23/2026,08/23/2026 19:59:47,17,17:45,4666.7002,4669.0,4664.2998,4668.0,-4.7002,SHORT,4667.5,4663.1001,TRUE,NA
08/23/2026,08/23/2026 19:59:47,18,18:00,4663.0,4664.1001,4662.1001,4666.2998,+3.2998,LONG,4663.1001,4665.0,TRUE,FALSE
08/23/2026,08/23/2026 19:59:47,18,18:15,4664.7998,4666.0,4664.0,4665.2998,-2.0000,SHORT,4665.0,,NA,NA
08/23/2026,08/23/2026 19:59:47,18,18:45,4664.7998,4667.7998,4665.3999,4672.3999,+7.6001,LONG,4665.5,4681.6001,TRUE,NA
08/23/2026,08/23/2026 19:59:47,19,19:00,4680.7002,4682.0,4677.7998,4685.5,+4.7998,LONG,4681.6001,4694.8999,TRUE,TRUE
08/23/2026,08/23/2026 19:59:47,19,19:15,4694.7002,4698.6001,4686.2002,4698.1001,-12.3999,SHORT,4694.8999,4661.6001,TRUE,FALSE
08/23/2026,08/23/2026 19:59:47,19,19:30,4658.6001,4663.2998,4659.5,4666.0,+7.3999,LONG,4661.6001,4664.1001,TRUE,FALSE
08/23/2026,08/23/2026 19:59:47,19,19:45,4661.7002,4664.3999,4660.8999,4672.3999,+10.6997,LONG,4664.1001,4678.7998,TRUE,TRUE
08/23/2026,08/23/2026 20:17:02,20,20:00,4672.7998,4680.2998,4675.7002,4692.0,+19.2002,LONG,4678.7998,4679.1001,TRUE,TRUE
08/23/2026,08/23/2026 20:32:02,20,20:15,4678.7002,4684.5,4673.6001,4682.6001,-10.8999,SHORT,4679.1001,4671.3999,TRUE,FALSE
08/23/2026,08/23/2026 20:47:02,20,20:30,4669.0,4674.8999,4664.6001,4671.5,-10.2998,SHORT,4671.3999,4674.6001,FALSE,FALSE
08/23/2026,08/23/2026 21:02:01,20,20:45,4670.2002,4675.0,4671.5,4675.3999,+5.1997,LONG,4674.6001,4688.7998,TRUE,FALSE
08/23/2026,08/23/2026 21:17:02,21,21:00,4688.7998,4694.2998,4684.3999,4695.2998,-9.8999,SHORT,4688.7998,4707.5,FALSE,TRUE
08/23/2026,08/23/2026 21:32:01,21,21:15,4704.8999,4708.3999,4706.2002,4712.2998,+7.3999,LONG,4707.5,4711.6001,TRUE,FALSE
08/23/2026,08/23/2026 21:47:01,21,21:30,4707.1001,4712.3999,4706.5,4713.7998,+6.6997,LONG,4711.6001,4694.8999,FALSE,FALSE
08/23/2026,08/23/2026 22:02:02,21,21:45,4694.6001,4698.3999,4684.2998,4695.0,-14.1001,SHORT,4694.8999,4700.3999,FALSE,TRUE
08/23/2026,08/23/2026 22:17:04,22,22:00,4696.7998,4700.3999,4694.7002,4700.7002,-5.6997,SHORT,4700.3999,4694.1001,TRUE,TRUE
08/23/2026,08/23/2026 22:32:03,22,22:15,4691.3999,4695.7998,4693.7998,4698.0,+6.6001,LONG,4694.1001,4700.5,TRUE,FALSE
08/23/2026,08/23/2026 22:47:04,22,22:30,4699.2002,4702.7998,4700.6001,4704.7002,+5.5000,LONG,4700.5,4700.0,FALSE,FALSE
