hour,samples,longs,shorts,avg_abs_move,median_abs_move,max_abs_move,matched,resolved,mom_true,mom_n,long_pct,match_pct,momentum_pct
0,4,3,1,0.125,0.12,0.17,3,3,1,3,75.0,100.0,33.3
1,6,2,4,0.17,0.15,0.23,2,6,2,4,33.3,33.3,50.0
2,8,3,5,0.2412,0.235,0.33,3,7,4,7,37.5,42.9,57.1
3,3,0,3,0.32,0.32,0.41,2,2,1,1,0.0,100.0,100.0
4,4,2,2,0.2475,0.265,0.35,4,4,2,4,50.0,100.0,50.0
5,4,2,2,0.1625,0.16,0.24,2,4,1,4,50.0,50.0,25.0
6,4,2,2,0.225,0.235,0.28,4,4,0,4,50.0,100.0,0.0
7,4,3,1,0.3775,0.255,0.89,1,4,3,4,75.0,25.0,75.0
8,4,2,2,0.3,0.295,0.33,3,4,0,4,50.0,75.0,0.0
9,4,1,3,0.2925,0.29,0.36,4,4,2,4,25.0,100.0,50.0
10,4,3,1,0.275,0.195,0.58,0,4,2,4,75.0,0.0,50.0
11,4,2,2,0.23,0.195,0.36,3,4,4,4,50.0,75.0,100.0
12,4,1,3,0.27,0.27,0.4,4,4,2,4,25.0,100.0,50.0
13,4,1,3,0.155,0.15,0.2,1,4,0,4,25.0,25.0,0.0
14,3,1,2,0.0967,0.09,0.14,3,3,2,3,33.3,100.0,66.7
15,4,2,2,0.08,0.08,0.11,3,4,1,3,50.0,75.0,33.3
17,2,1,1,0.07,0.07,0.11,2,2,0,0,50.0,100.0,0.0
18,5,1,4,0.07,0.07,0.13,3,4,2,2,20.0,75.0,100.0
19,8,1,7,0.1312,0.115,0.24,7,8,5,7,12.5,87.5,71.4
20,8,3,5,0.3012,0.295,0.54,5,8,3,8,37.5,62.5,37.5
21,8,3,5,0.175,0.15,0.34,5,8,4,8,37.5,62.5,50.0
22,8,4,4,0.1112,0.105,0.23,4,6,4,6,50.0,66.7,66.7
23,5,1,4,0.092,0.09,0.15,1,4,0,2,20.0,25.0,0.0
