date,created_on,hour,15minute,minus_min,minus_max,plus_min,plus_max,best_move,direction,price_current15,price_next15,is_matched,momentum
08/23/2026,08/23/2026 19:59:47,17,17:45,86.34,86.37,86.34,86.36,-0.0300,SHORT,86.36,86.26,TRUE,NA
08/23/2026,08/23/2026 19:59:47,18,18:00,86.24,86.32,86.19,86.28,-0.1300,SHORT,86.26,86.17,TRUE,TRUE
08/23/2026,08/23/2026 19:59:47,18,18:15,86.13,86.18,86.11,86.17,-0.0700,SHORT,86.17,,NA,NA
08/23/2026,08/23/2026 19:59:47,18,18:45,86.14,86.2,86.11,86.18,-0.0900,SHORT,86.14,86.02,TRUE,NA
08/23/2026,08/23/2026 19:59:47,19,19:00,85.98,86.07,85.96,86.04,-0.1100,SHORT,86.02,86.16,FALSE,FALSE
08/23/2026,08/23/2026 19:59:47,19,19:15,86.07,86.16,86.02,86.17,-0.1400,SHORT,86.16,85.95,TRUE,TRUE
08/23/2026,08/23/2026 19:59:47,19,19:30,85.91,85.96,85.84,85.95,-0.1200,SHORT,85.95,85.64,TRUE,TRUE
08/23/2026,08/23/2026 19:59:47,19,19:45,85.61,85.73,85.61,85.85,+0.2400,LONG,85.64,85.83,TRUE,FALSE
08/23/2026,08/23/2026 20:17:02,20,20:00,85.76,85.86,85.32,85.85,-0.5400,SHORT,85.83,85.4,TRUE,FALSE
08/23/2026,08/23/2026 20:32:02,20,20:15,85.38,85.47,85.06,85.42,-0.4100,SHORT,85.4,85.15,TRUE,TRUE
08/23/2026,08/23/2026 20:47:02,20,20:30,85.02,85.17,85.1,85.38,+0.3600,LONG,85.15,85.3,TRUE,FALSE
08/23/2026,08/23/2026 21:02:01,20,20:45,85.26,85.38,85.23,85.37,-0.1500,SHORT,85.3,85.36,FALSE,TRUE
08/23/2026,08/23/2026 21:17:02,21,21:00,85.33,85.4,85.22,85.36,-0.1800,SHORT,85.36,85.33,TRUE,TRUE
08/23/2026,08/23/2026 21:32:01,21,21:15,85.31,85.43,85.32,85.39,-0.1100,SHORT,85.33,85.51,FALSE,FALSE
08/23/2026,08/23/2026 21:47:01,21,21:30,85.48,85.52,85.52,85.7,+0.2200,LONG,85.51,85.61,TRUE,FALSE
08/23/2026,08/23/2026 22:02:02,21,21:45,85.58,85.62,85.5,85.62,-0.1200,SHORT,85.61,85.69,FALSE,TRUE
08/23/2026,08/23/2026 22:17:04,22,22:00,85.67,85.73,85.67,85.75,+0.0800,LONG,85.69,85.67,FALSE,TRUE
08/23/2026,08/23/2026 22:32:03,22,22:15,85.64,85.68,85.67,85.72,+0.0800,LONG,85.67,85.71,TRUE,TRUE
08/23/2026,08/23/2026 22:47:04,22,22:30,85.66,85.72,85.7,85.79,+0.1300,LONG,85.71,85.72,TRUE,TRUE
08/23/2026,08/23/2026 23:02:04,22,22:45,85.71,85.72,85.63,85.71,-0.0900,SHORT,85.72,,NA,NA
08/23/2026,08/23/2026 23:32:03,23,23:15,85.59,85.67,85.58,85.62,-0.0900,SHORT,85.6,85.61,FALSE,NA
08/23/2026,08/23/2026 23:47:03,23,23:30,85.58,85.64,85.58,85.62,-0.0600,SHORT,85.61,85.61,FALSE,FALSE
08/23/2026,08/24/2026 00:02:03,23,23:45,85.59,85.61,85.61,85.74,+0.1500,LONG,85.61,85.61,FALSE,FALSE
08/24/2026,08/24/2026 00:17:03,0,00:00,85.6,85.65,85.58,85.69,+0.0900,LONG,85.61,85.67,TRUE,TRUE
08/24/2026,08/24/2026 00:32:03,0,00:15,85.61,85.67,85.58,85.65,-0.0900,SHORT,85.67,85.56,TRUE,FALSE
08/24/2026,08/24/2026 00:47:03,0,00:30,85.54,85.57,85.47,85.69,+0.1500,LONG,85.56,85.76,TRUE,FALSE
08/24/2026,08/24/2026 01:02:03,0,00:45,85.6,85.76,85.63,85.77,+0.1700,LONG,85.76,,NA,NA
