hour,samples,longs,shorts,avg_abs_move,median_abs_move,max_abs_move,matched,resolved,mom_true,mom_n,long_pct,match_pct,momentum_pct
0,4,3,1,0.1638,0.14,0.285,2,3,0,3,75.0,66.7,0.0
1,6,5,1,0.1833,0.17,0.28,4,6,2,4,83.3,66.7,50.0
2,8,4,4,0.1538,0.1475,0.195,6,7,3,7,50.0,85.7,42.9
3,3,1,2,0.115,0.105,0.155,2,2,0,1,33.3,100.0,0.0
4,4,3,1,0.115,0.1,0.17,4,4,1,4,75.0,100.0,25.0
5,3,1,2,0.0733,0.08,0.08,3,3,2,3,33.3,100.0,66.7
6,4,2,2,0.195,0.1775,0.33,2,4,2,3,50.0,50.0,66.7
7,4,0,4,0.2438,0.2025,0.46,1,4,1,4,0.0,25.0,25.0
8,4,2,2,0.3438,0.33,0.505,2,4,2,4,50.0,50.0,50.0
9,4,2,2,0.2525,0.215,0.39,1,4,3,4,50.0,25.0,75.0
10,4,1,3,0.2438,0.245,0.345,3,4,3,4,25.0,75.0,75.0
11,4,2,2,0.1825,0.1225,0.445,4,4,2,4,50.0,100.0,50.0
12,4,1,3,0.1762,0.1975,0.215,4,4,2,4,25.0,100.0,50.0
13,4,1,3,0.1362,0.14,0.185,2,4,4,4,25.0,50.0,100.0
14,4,3,1,0.1062,0.105,0.155,2,4,3,4,75.0,50.0,75.0
15,2,2,0,0.05,0.05,0.06,0,1,0,1,100.0,0.0,0.0
17,3,1,2,0.075,0.065,0.11,2,2,0,1,33.3,100.0,0.0
18,3,3,0,0.15,0.145,0.19,3,3,0,0,100.0,100.0,0.0
19,8,4,4,0.2394,0.2525,0.36,7,8,2,8,50.0,87.5,25.0
20,8,1,7,0.2531,0.275,0.365,4,8,3,8,12.5,50.0,37.5
21,8,3,5,0.335,0.3625,0.495,6,8,2,8,37.5,75.0,25.0
22,7,4,3,0.1536,0.135,0.27,5,6,3,6,57.1,83.3,50.0
23,4,0,4,0.1288,0.14,0.15,2,3,2,2,0.0,66.7,100.0
