date,created_on,hour,15minute,minus_min,minus_max,plus_min,plus_max,best_move,direction,price_current15,price_next15,is_matched,momentum
08/23/2026,08/23/2026 19:59:47,17,17:45,69.05,69.1,68.99,69.1,-0.1100,SHORT,69.1,,NA,NA
08/23/2026,08/23/2026 19:59:47,18,18:45,69.075,69.11,69.12,69.265,+0.1900,LONG,69.095,69.365,TRUE,NA
08/23/2026,08/23/2026 19:59:47,19,19:00,69.33,69.38,69.33,69.45,+0.1200,LONG,69.365,69.545,TRUE,TRUE
08/23/2026,08/23/2026 19:59:47,19,19:15,69.535,69.635,69.275,69.57,-0.3600,SHORT,69.545,68.99,TRUE,FALSE
08/23/2026,08/23/2026 19:59:47,19,19:30,68.91,69.01,68.725,69.005,-0.2850,SHORT,68.99,68.87,TRUE,TRUE
08/23/2026,08/23/2026 19:59:47,19,19:45,68.84,68.885,68.825,69.04,+0.2000,LONG,68.87,69.33,TRUE,FALSE
08/23/2026,08/23/2026 20:17:02,20,20:00,69.18,69.355,69.06,69.545,+0.3650,LONG,69.33,69.005,FALSE,FALSE
08/23/2026,08/23/2026 20:32:02,20,20:15,68.995,69.13,68.815,69.02,-0.3150,SHORT,69.005,68.615,TRUE,FALSE
08/23/2026,08/23/2026 20:47:02,20,20:30,68.595,68.72,68.45,68.695,-0.2700,SHORT,68.615,68.635,FALSE,FALSE
08/23/2026,08/23/2026 21:02:01,20,20:45,68.545,68.67,68.575,68.63,-0.0950,SHORT,68.635,68.85,FALSE,FALSE
08/23/2026,08/23/2026 21:17:02,21,21:00,68.84,68.95,68.765,69.075,+0.2350,LONG,68.85,69.24,TRUE,FALSE
08/23/2026,08/23/2026 21:32:01,21,21:15,69.215,69.27,69.24,69.35,+0.1350,LONG,69.24,69.29,TRUE,TRUE
08/23/2026,08/23/2026 21:47:01,21,21:30,69.24,69.29,69.17,69.355,-0.1200,SHORT,69.29,68.945,TRUE,FALSE
08/23/2026,08/23/2026 22:02:02,21,21:45,68.93,68.99,68.68,68.945,-0.3100,SHORT,68.945,68.95,FALSE,FALSE
