logged_at_cst,category,ticker,book,direction,signal,confluence,signal_price,entry_ref,target_price,stop_price,stop_deadline_cst,target_deadline_cst,acc_tp_before_sl_pct,acc_strict_pct,bar_time_cst,repeats,hot,engines,eng_hot,tfs,econ,outcome,outcome_at
2026-08-06 10:56:26,stock,LLY,B,SHORT,orb_break_dn+cvd_dn_v,9,1178.95,1178.95,1174.23,1183.67,11:25,11:25,83.3,55.6,2026-08-06 10:50,1,,30m,,5m,,target,11:15
2026-08-06 10:45:45,stock,TSLA,B,LONG,above_vwap+ylow_reclaim,1,320.48,320.48,321.76,319.2,11:45,11:45,100.0,75.0,2026-08-06 10:30,1,,30m+1h,2,15m,,stop,11:00
2026-08-06 09:45:59,crypto,BTC,B,LONG,poc_reject_up+delta_surge+strong_close,8,64741.6,64741.6,64903.46,64579.75,10:45,10:45,88.9,88.9,2026-08-06 09:40,1,,,,,,target,10:10
2026-08-06 09:20:02,stock,LLY,B,SHORT,orb_break_dn+cvd_dn_v,9,1181.83,1181.83,1177.11,1186.56,09:50,09:50,83.3,55.6,2026-08-06 09:15,1,,30m,,5m,,target,09:30
2026-08-05 12:01:11,india,NIFTY,B,SHORT,r1_reject+weak_close,1,280.1,280.1,279.4,280.8,15:30,15:30,100.0,60.0,2026-08-05 11:30,1,,2h+4h,2,30m,10Y -6bp to 4.627%,timeout,15:30
2026-08-05 11:42:04,india,NIFTY,B,SHORT,below_vwap+yhigh_reject,5,280.38,280.38,279.68,281.08,15:30,15:30,92.3,85.7,2026-08-05 11:30,3,1,30m+1h+2h+4h,4,5m,10Y -6bp to 4.627%,timeout,15:30
2026-08-05 11:30:31,etf,SPY,B,LONG,poc_reject_up+above_pivot,1,772.1,772.1,774.03,770.17,14:35,14:35,83.3,62.5,2026-08-05 11:00,1,,30m+1h+2h+4h,4,5m+15m+30m,10Y -6bp to 4.627%,stop,11:05
2026-08-05 10:45:32,etf,SPY,B,LONG,poc_reject_up+above_pivot,1,772.01,772.01,773.94,770.08,11:15,11:15,100.0,25.0,2026-08-05 10:30,1,,30m+1h+2h+4h,4,15m,10Y -6bp to 4.627%,stop,11:05
2026-08-05 10:45:22,india,NIFTY,B,SHORT,below_vwap+yhigh_reject,1,280.47,280.47,279.77,281.17,14:45,14:45,92.3,85.7,2026-08-05 10:40,1,,30m+1h+2h+4h,4,5m,10Y -6bp to 4.627%,timeout,14:45
2026-08-05 09:06:11,stock,AMZN,B,LONG,adi_up+ylow_reclaim+hist_turn_up,6,276.45,276.45,277.56,275.34,13:05,13:05,87.5,87.5,2026-08-05 09:00,1,,30m+1h+2h+4h,4,5m,10Y -6bp to 4.627%,target,09:30
